dbName,newName,group,plotName,color,marker
agnddf_v1.4_10yrs,agnddf,agnddf,ddf,r,*
alt_roll_mod2_dust_sdf_0.20_v1.4_10yrs,alt_roll,alt_roll,alt,b,*
baseline_2snapsv1.4_10yrs,baseline,baseline,baseline,b,>
baseline_v1.4_10yrs,baseline,baseline,baseline,b,>
bulges_bs_v1.4_10yrs,bulges,bulge,bulges,b,s
bulges_bulge_wfd_v1.4_10yrs,bulges,bulge,bulges,b,s
bulges_cadence_bs_v1.4_10yrs,bulges,bulge,bulges,b,s
bulges_cadence_bulge_wfd_v1.4_10yrs,bulges,bulge,bulges,b,s
bulges_cadence_i_heavy_v1.4_10yrs,bulges,bulge,bulges,b,s
bulges_i_heavy_v1.4_10yrs,bulges,bulge,bulges,b,s
dcr_nham1_v1.4_10yrs,dcr_nham,dcr_nham,dcr_nham,k,*
dcr_nham2_v1.4_10yrs,dcr_nham,dcr_nham,dcr_nham,k,*
dcr_nham3_v1.4_10yrs,dcr_nham,dcr_nham,dcr_nham,k,*
dcr_nham4_v1.4_10yrs,dcr_nham,dcr_nham,dcr_nham,k,*
dcr_nham5_v1.4_10yrs,dcr_nham,dcr_nham,dcr_nham,k,*
descddf_v1.4_10yrs,descddf,descddf,ddf,r,s
euclidddf_v1.4_10yrs,euclidddf,euclidddf,euclidddf,r,o
footprint_add_mag_cloudsv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_big_sky_dustv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_big_sky_nouiyv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_big_skyv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_bluer_footprintv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_gp_smoothv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_newAv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_newBv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_no_gp_northv1.4_10yrs,foorprint,footprint,footprint,g,*
footprint_standard_goalsv1.4_10yrs,foorprint,footprint,footprint,g,*
