dbName,newName,group,plotName,color,marker
footprint_stuck_rollingv1.4_10yrs,foorprint,footprint,footprint,g,*
pair_strategy_0_v1.4_10yrs,pair,pair,pair,m,*
pair_strategy_1_v1.4_10yrs,pair,pair,pair,m,*
pair_strategy_2_v1.4_10yrs,pair,pair,pair,m,*
pair_strategy_3_v1.4_10yrs,pair,pair,pair,m,*
pair_strategy_4_v1.4_10yrs,pair,pair,pair,m,*
roll_mod2_dust_sdf_0.20_v1.4_10yrs,rolling,rolling,rolling,m,s
rolling_mod2_sdf_0.10_v1.4_10yrs,rolling,rolling,rolling,m,s
rolling_mod2_sdf_0.20_v1.4_10yrs,rolling,rolling,rolling,m,s
rolling_mod3_sdf_0.10_v1.4_10yrs,rolling,rolling,rolling,m,s
rolling_mod3_sdf_0.20_v1.4_10yrs,rolling,rolling,rolling,m,s
rolling_mod6_sdf_0.10_v1.4_10yrs,rolling,rolling,rolling,m,s
rolling_mod6_sdf_0.20_v1.4_10yrs,rolling,rolling,rolling,m,s
short_exp_2ns_1expt_v1.4_10yrs,short,short,short,k,s
short_exp_2ns_5expt_v1.4_10yrs,short,short,short,k,s
short_exp_5ns_1expt_v1.4_10yrs,short,short,short,k,s
short_exp_5ns_5expt_v1.4_10yrs,short,short,short,k,s
spiders_v1.4_10yrs,spiders,spiders,spiders,k,<
twi_filters_1_v1.4_10yrs,twi_filt,twi_filt,twi_filt,k,P
twi_filters_2_v1.4_10yrs,twi_filt,twi_filt,twi_filt,k,P
twi_filters_3_v1.4_10yrs,twi_filt,twi_filt,twi_filt,k,P
twi_filters_4_v1.4_10yrs,twi_filt,twi_filt,twi_filt,k,P
twi_filters_5_v1.4_10yrs,twi_filt,twi_filt,twi_filt,k,P
twilight_neo_mod1_v1.4_10yrs,twilight,twilight,twilight,m,P
twilight_neo_mod2_v1.4_10yrs,twilight,twilight,twilight,m,P
twilight_neo_mod3_v1.4_10yrs,twilight,twilight,twilight,m,P
twilight_neo_mod4_v1.4_10yrs,twilight,twilight,twilight,m,P
var_expt_v1.4_10yrs,var_expt,var_expt,var_expt,m,<
weather_0.3_v1.4_10yrs,weather,weather,weather,orange,P
weather_0.7_v1.4_10yrs,weather,weather,weather,orange,P
weather_1.2_ndt_v1.4_10yrs,weather,weather,weather,orange,P
weather_1.2_v1.4_10yrs,weather,weather,weather,orange,P
wfd_depth_scale0.65_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.70_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.75_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.80_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.85_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.90_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.95_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.99_v1.4_10yrs,wfd,wfd,wfd,orange,s
wfd_depth_scale0.65_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.70_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.75_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.80_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.85_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.90_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.95_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
wfd_depth_scale0.99_noddf_v1.4_10yrs,wfd_noddf,wfd_noddf,wfd_noddf,orange,*
flexddf_v1.4_10yrs, flexddf,flexddf,flexddf,orange,*
darkddf_v1.4_10yrs, darkddf,darkddf,darkddf,black,s
longseasonddf_v1.4_10yrs,longseasonddf,longseasonddf,longseasonddf,red,o
flexddf_moreu_v1.4_10yrs,flexddf_moreu,flexddf_moreu,flexddf_moreu,m,<
