dbName,newName,group,Namepl,color,marker
descddf_v1.5_10yrs,descddf_1.5,descddf,descddf_1.5,r,s
baseline_v1.4_10yrs,baseline_1.4,baseline,baseline,b,s
alt_sched,alt_sched,alt_sched,alt_sched,g,s
flexddf_v1.4_10yrs,flexddf,flexddf,flexddf,b,s
