z,effi
0.04014050236638186,0.003793554909075099
0.07732854101943365,0.02202408129803638
0.11451657967248545,0.06992332017524114
0.15170461832553725,0.16364263316668906
0.18889265697858906,0.2208995916131295
0.22608069563164085,0.25341909412276503
0.26326873428469266,0.20955071948343917
0.3004567729377444,0.1298161641072759
0.3376448115907963,0.06729645280593742
0.37483285024384805,0.025094672667506108
0.41202088889689986,0.007322944885550691
0.4492089275499517,0.0017787880523841945
0.48639696620300343,0.0003710334254775074
0.5235850048560553,6.419916319122544e-05
0.5607730435091071,5.773870893887093e-06
0.5979610821621588,5.320592571212336e-07
0.6351491208152107,3.846929382386767e-08
0.6723371594682624,1.9986346790364904e-09
0.7095251981213142,7.46698527002786e-11
0.7467132367743661,1.904921489874594e-12
0.7839012754274179,4.141642911594324e-14
0.8210893140804696,6.38472346483122e-16
0.8582773527335215,7.108202270480021e-18
0.8954653913865733,5.446589227383759e-20
0.932653430039625,4.806909174326222e-22
0.9698414686926768,1.7627840844670837e-24
1.0070295073457287,5.939717871729097e-27
1.0442175459987806,1.262770745372144e-29
1.0814055846518322,1.838977203357282e-32
