z,effi
0.018798121054421715,0.76
0.05322625708416358,0.7580773400795086
0.08765439311390544,0.7510266940451745
0.12208252914364731,0.7379779118752136
0.15651066517338919,0.7158913462965711
0.19093880120313106,0.7005092963050129
0.2253669372328729,0.6794342468482314
0.25979507326261475,0.6642544660027332
0.2942232092923567,0.6293376751151472
0.3286513453220985,0.5562250494983848
0.3630794813518404,0.4324531884593069
0.39750761738158225,0.3649777240955983
0.43193575341132406,0.2991204365968335
0.466363889441066,0.2668405525072362
0.5007920254708078,0.25049454573760804
0.5352201615005497,0.2239268249222911
0.5696482975302916,0.19303774195446255
0.6040764335600335,0.1720057121096725
0.6385045695897753,0.1604925065463257
0.6729327056195171,0.15279361034279143
0.707360841649259,0.14216763436057764
0.741788977679001,0.1273628095365138
0.7762171137087428,0.12116392447525638
0.8106452497384846,0.11393763950057298
0.8450733857682264,0.10272426980586914
0.8795015217979684,0.08331613776412626
0.9139296578277103,0.07691772108534912
0.9483577938574521,0.06699276798371828
0.9827859298871939,0.05775967578222686
