z,effi
0.04014050236638186,0.967741935483871
0.07732854101943365,0.9025641025641026
0.11451657967248545,0.814621409921671
0.15170461832553725,0.652542372881356
0.18889265697858906,0.5893300248138957
0.22608069563164085,0.45675686120733777
0.26326873428469266,0.20827547779234232
0.3004567729377444,0.05001834925803093
0.3376448115907963,0.00996376328603943
0.37483285024384805,0.0010327579233233226
0.41202088889689986,7.111262788168217e-05
0.4492089275499517,2.610221015202236e-06
0.48639696620300343,4.399139347566937e-08
0.5235850048560553,3.8799662231339483e-10
0.5607730435091071,9.651179926526947e-13
0.5979610821621588,1.2609073925628364e-15
0.6351491208152107,6.221514953027759e-19
0.6723371594682624,9.452795363663696e-23
0.7095251981213142,5.5222731679964996e-27
0.7467132367743661,7.745169772124894e-32
0.7839012754274179,3.2489677638901857e-37
0.8210893140804696,3.6763097212701256e-43
0.8582773527335215,8.608341100536452e-50
0.8954653913865733,4.0546409446640997e-57
0.932653430039625,6.1557192166946136e-65
0.9698414686926768,9.66942447221338e-74
1.0070295073457287,3.3106075696280985e-83
1.0442175459987806,1.4149746467983335e-93
1.0814055846518322,8.716658984868748e-105
