note,filter,night,season,fiveSigmaDepth,airmass,observationStartMJD,numExposures,visitExposureTime,seeingFwhmEff,seeingFwhmGeom
DD:COSMOS,g,47,1,24.36857561229767,1.5717954850092863,60265.34606166978,2.0,30.0,0.8854380401200692,0.779830068978697
DD:COSMOS,g,69,1,24.19297089202074,1.2806541347785387,60287.33564966241,2.0,30.0,1.1860849872562695,1.0269618595246535
DD:COSMOS,g,94,1,23.52883970377087,2.2793561630351107,60312.16895440218,2.0,30.0,1.6469305397357075,1.4057769036627517
DD:COSMOS,g,113,1,24.50359271735691,1.189339719437555,60331.29363500797,2.0,30.0,1.0203420804834966,0.8907211901574342
DD:COSMOS,g,135,1,24.180364676437915,1.186062329016317,60353.220895360304,2.0,30.0,1.3537301981440741,1.1647662228744289
DD:COSMOS,g,157,1,24.160615338771386,1.1832959042607019,60375.15830106757,2.0,30.0,1.3873222951300188,1.1923789265968754
DD:COSMOS,g,179,1,23.844941647542832,1.4305201090380653,60397.00232253822,2.0,30.0,1.1455890230066104,0.9936741769114337
DD:COSMOS,g,208,1,23.44202292532754,1.22787812219558,60425.97986683548,2.0,30.0,1.5432083867259774,1.3205172938887535
DD:COSMOS,g,223,1,24.46860201479594,1.1875079202595042,60440.99128897441,2.0,30.0,1.0069924346932724,0.87974778131787
DD:COSMOS,g,407,2,24.43762722507185,1.7359890143111059,60625.343449848435,2.0,30.0,0.823005906614225,0.728510855236893
DD:COSMOS,g,408,2,23.513878891084683,1.6258471770791494,60626.35176066774,2.0,30.0,1.7103289258337335,1.4578903770353289
DD:COSMOS,g,410,2,23.05178161550552,1.885996635544735,60628.323057102716,2.0,30.0,1.3540109123664998,1.164996969965263
DD:COSMOS,g,420,2,23.746151826912758,1.446768889595515,60638.33838963236,2.0,30.0,1.0467738645713758,0.9124481166776709
DD:COSMOS,g,421,2,24.288142571626665,1.3995082286723912,60639.34607901714,2.0,30.0,0.7501852549766959,0.6686522795908441
DD:COSMOS,g,422,2,24.209305910785545,1.4406914761759269,60640.336672564954,2.0,30.0,0.9871863170376185,0.8634671526049225
DD:COSMOS,g,423,2,24.560781022900052,1.430529304408684,60641.33648435004,2.0,30.0,0.8015504200052415,0.7108744452443084
DD:COSMOS,g,424,2,24.184976527696193,1.4574784684395243,60642.32650511094,2.0,30.0,1.1946324572894758,1.0339878798919488
DD:COSMOS,g,425,2,24.66734761654363,1.387306640341095,60643.33529876111,2.0,30.0,0.7710692649737284,0.6858189358084048
DD:COSMOS,g,426,2,24.19720269839123,1.3898621724813212,60644.33498501407,2.0,30.0,1.2030390668445423,1.0408981129462136
DD:COSMOS,g,427,2,23.731231396325825,1.2809784385729883,60645.35581585396,2.0,30.0,0.914720324056489,0.803900106374434
DD:COSMOS,g,428,2,23.957820277507878,1.4160261729201569,60646.32544901777,2.0,30.0,1.409120835500731,1.210297326781601
DD:COSMOS,g,429,2,24.205148891125212,1.3335344904075115,60647.334986184425,2.0,30.0,1.2033952118299092,1.0411908641241854
DD:COSMOS,g,430,2,24.43627088589883,1.330640356445529,60648.334955313374,2.0,30.0,0.9778525143260286,0.8557947667759955
DD:COSMOS,g,431,2,24.06282778486824,1.3074634575237456,60649.335344085004,2.0,30.0,1.3999000620435407,1.2027178509997904
DD:COSMOS,g,432,2,24.60847697563053,1.3054051305317032,60650.33310015315,2.0,30.0,0.856190414216854,0.755788520486254
DD:COSMOS,g,437,2,24.291660692761532,1.42112697733943,60655.29603563451,2.0,30.0,1.1300401843597228,0.9808930315436921
DD:COSMOS,g,438,2,24.206836662151265,1.2410366887973954,60656.33568834327,2.0,30.0,1.2520750866906876,1.0812057212597452
DD:COSMOS,g,439,2,24.526610673812712,1.2117475045633483,60657.34626296782,2.0,30.0,0.7675572150328666,0.6829320307570164
DD:COSMOS,g,440,2,23.92663187780404,1.2079556730132386,60658.347903404356,2.0,30.0,0.9290855279361429,0.8157083039635094
DD:COSMOS,g,448,2,23.733414984365613,1.1966272853351085,60666.34200484762,2.0,30.0,0.9406341350008043,0.8252012589706611
DD:COSMOS,g,449,2,24.121164906877127,1.190955782759678,60667.33534821089,2.0,30.0,0.8348774126687339,0.7382692332136993
DD:COSMOS,g,450,2,24.29510653113627,1.1973803979698956,60668.33530832146,2.0,30.0,0.8551113564203789,0.7549015349775515
DD:COSMOS,g,451,2,24.445689926867438,1.189306351030385,60669.33524175067,2.0,30.0,0.8635504060045827,0.761838433735767
DD:COSMOS,g,452,2,24.50261789425209,1.1945706331448425,60670.32695846723,2.0,30.0,0.9074813226870005,0.7979496472487144
DD:COSMOS,g,453,2,24.73474540923762,1.2049462315684716,60671.32143759502,2.0,30.0,0.7858611479815982,0.6979778636408738
DD:COSMOS,g,454,2,24.447216849594966,1.1977894260110935,60672.324938313424,2.0,30.0,1.0556630430513387,0.9197550213882004
DD:COSMOS,g,456,2,23.963600676907625,1.573026310789736,60674.25997487033,2.0,30.0,1.471533462479429,1.2616005061580906
DD:COSMOS,g,457,2,24.005354944613778,1.187959599068324,60675.324892318655,2.0,30.0,1.6120570702582402,1.3771109117522735
DD:COSMOS,g,458,2,23.678766673628434,1.1813575332417046,60676.32498394169,2.0,30.0,2.182644705680298,1.8461339480692047
DD:COSMOS,g,459,2,24.140496952740207,1.1797835661360452,60677.323790146984,2.0,30.0,1.4381464022169141,1.2341563426223034
DD:COSMOS,g,460,2,24.45183724197952,1.1868057889907278,60678.31688830222,2.0,30.0,1.0713336897013017,0.93263629293447
