note,season,filter,fiveSigmaDepth,airmass
DD:COSMOS,1,g,24.186649181186347,1.2076390104907855
DD:COSMOS,1,i,23.49023913292769,1.2055780208092726
DD:COSMOS,1,r,23.94993718728854,1.2059499290061912
DD:COSMOS,1,u,23.5002299781692,1.2091495341104062
DD:COSMOS,1,y,21.946844835956888,1.2303935515939477
DD:COSMOS,1,z,22.583470508593813,1.260267672541986
DD:COSMOS,2,g,24.322474560917613,1.2146166051211937
DD:COSMOS,2,i,23.476432335674936,1.2177160734182686
DD:COSMOS,2,r,23.88652323140933,1.2219417987009331
DD:COSMOS,2,u,23.418148455709467,1.2057818909626752
DD:COSMOS,2,y,21.964440532653725,1.227480605088738
DD:COSMOS,2,z,22.779824433522794,1.3900318475923286
DD:COSMOS,3,g,24.527345192056472,1.1979716831696772
DD:COSMOS,3,i,23.651402645543136,1.20193114168912
DD:COSMOS,3,r,24.125614434041417,1.204442716696723
DD:COSMOS,3,u,23.651169214112883,1.2062099526511707
DD:COSMOS,3,y,22.184800668691878,1.2241344802799197
DD:COSMOS,3,z,22.916925572206818,1.262263467305434
DD:COSMOS,4,g,24.292716997940726,1.2144694765368067
DD:COSMOS,4,i,23.500176922715585,1.2168477266727429
DD:COSMOS,4,r,23.873089848755235,1.2072645199250558
DD:COSMOS,4,u,23.621760412996146,1.2088647263761911
DD:COSMOS,4,y,22.04300549505976,1.2209744179071498
DD:COSMOS,4,z,22.862221690883523,1.276861532139958
DD:COSMOS,5,g,24.079598482605654,1.2084520966990306
DD:COSMOS,5,i,23.40312865542805,1.1984553884824727
DD:COSMOS,5,r,23.854846168306885,1.200508424656733
DD:COSMOS,5,u,23.512550514768655,1.1992148549594863
DD:COSMOS,5,y,21.92841936089949,1.21859638030486
DD:COSMOS,5,z,22.590225676401232,1.4170290812459956
DD:COSMOS,6,g,24.06744154982158,1.2155661402541333
DD:COSMOS,6,i,23.286271733887716,1.2075045614505402
DD:COSMOS,6,r,23.610159262534168,1.199834088001345
DD:COSMOS,6,u,23.15957375657608,1.201238546053125
DD:COSMOS,6,y,21.85888036853914,1.2139628737128587
DD:COSMOS,6,z,22.746305785350074,1.2291881339129482
DD:COSMOS,7,g,24.069665225169476,1.2081966598813032
DD:COSMOS,7,i,23.266293756430116,1.2027935869869466
DD:COSMOS,7,r,23.60787851508869,1.199920669387958
DD:COSMOS,7,u,23.20066607997762,1.2022073592885425
DD:COSMOS,7,y,21.79657619393126,1.2151666715861578
DD:COSMOS,7,z,22.559798657873124,1.3531454799943137
DD:COSMOS,8,g,24.28398848219365,1.2074048165121638
DD:COSMOS,8,i,23.385508143933393,1.2094252859300987
DD:COSMOS,8,r,23.756131575115592,1.207698875427563
DD:COSMOS,8,u,23.271402358038507,1.2902980643292408
DD:COSMOS,8,y,22.01897604497686,1.2262665564214772
DD:COSMOS,8,z,22.81725090725375,1.225682322737768
DD:COSMOS,9,g,24.230075408008126,1.2215347742859004
DD:COSMOS,9,i,23.419802978548084,1.219052544658946
DD:COSMOS,9,r,23.81387647263228,1.225130129274094
DD:COSMOS,9,u,23.324986883257548,1.2132062652502735
DD:COSMOS,9,y,21.98575123177175,1.2796711398604224
DD:COSMOS,9,z,22.842788023418162,1.2994458640549296
DD:COSMOS,10,g,24.332991235810653,1.2175122143599948
DD:COSMOS,10,i,23.46780538628353,1.2325951083514775
DD:COSMOS,10,r,23.878036106163897,1.2271560568511573
DD:COSMOS,10,u,23.594401581039918,1.2096394278676943
DD:COSMOS,10,y,22.1427067389269,1.2471118423706749
DD:COSMOS,10,z,22.841275599742332,1.2743583894479706
DD:ECDFS,1,g,24.55397626240792,1.0424493539790844
DD:ECDFS,1,i,23.684460529951746,1.0577788230546832
DD:ECDFS,1,r,23.923111919682984,1.1396392043353338
DD:ECDFS,1,u,23.87037705830756,1.0909095046497228
DD:ECDFS,1,y,22.230359756695712,1.1912955817814135
DD:ECDFS,1,z,22.885496748684865,1.266337341872688
DD:ECDFS,2,g,24.33699263458911,1.0768396015199093
DD:ECDFS,2,i,23.50978005993641,1.0844332159572654
DD:ECDFS,2,r,23.88553577512315,1.1233649721756185
DD:ECDFS,2,u,23.558559160804357,1.1109208558616563
DD:ECDFS,2,y,22.137894341557868,1.1424626734670613
DD:ECDFS,2,z,22.92594267248149,1.1958468415523038
DD:ECDFS,3,g,24.53623431449011,1.0523221374205325
DD:ECDFS,3,i,23.744680741749363,1.0528906082333704
DD:ECDFS,3,r,24.1373398676944,1.0688867443057393
DD:ECDFS,3,u,23.748197894135902,1.083069107969018
DD:ECDFS,3,y,22.298891998681484,1.1151253296535457
DD:ECDFS,3,z,23.018383922151596,1.2331733035597583
DD:ECDFS,4,g,24.514597555670647,1.0343496168931368
DD:ECDFS,4,i,23.63312596809085,1.0455216530326616
DD:ECDFS,4,r,24.139202580922664,1.06836669600147
DD:ECDFS,4,u,23.818439758549637,1.0805190062051864
DD:ECDFS,4,y,22.18764488203993,1.1144645522302854
DD:ECDFS,4,z,22.98249256920542,1.3309127787330355
DD:ECDFS,5,g,24.379881189323797,1.0523315419025001
DD:ECDFS,5,i,23.494376985345433,1.0622570010807912
DD:ECDFS,5,r,24.016503538505965,1.0982516200185994
DD:ECDFS,5,u,23.41435368412634,1.0874234930431126
DD:ECDFS,5,y,22.117881545543383,1.2097650206908126
DD:ECDFS,5,z,22.846874092464347,1.2739003080934055
DD:ECDFS,6,g,24.399140117748736,1.0424821252672314
DD:ECDFS,6,i,23.550772059754074,1.057186694551037
DD:ECDFS,6,r,23.858347267382698,1.1408521285827506
DD:ECDFS,6,u,23.617317005072472,1.0874022348583972
DD:ECDFS,6,y,21.966390475381893,1.271889110519073
DD:ECDFS,6,z,22.61708826151196,1.4201937633308686
DD:ECDFS,7,g,24.266050865482228,1.0521561338613978
DD:ECDFS,7,i,23.513624695710895,1.0652151153987997
DD:ECDFS,7,r,24.07616936396627,1.0769740718254834
DD:ECDFS,7,u,22.97372060739401,1.088901608384687
DD:ECDFS,7,y,22.138489461014622,1.120585577790397
DD:ECDFS,7,z,22.835468689613336,1.2173585321686589
DD:ECDFS,8,g,24.2616485430704,1.0859414047644131
DD:ECDFS,8,i,23.505302895620957,1.1068826757889192
DD:ECDFS,8,r,23.898598341566995,1.1441561931011308
DD:ECDFS,8,u,23.60909812744221,1.135956055282025
DD:ECDFS,8,y,22.121253398173074,1.1678259926837837
DD:ECDFS,8,z,22.772014851609555,1.2056750118811714
DD:ECDFS,9,g,24.233162303265125,1.0574452464991377
DD:ECDFS,9,i,23.552882725132115,1.0749736355058586
DD:ECDFS,9,r,23.827939676161854,1.0947509025889646
DD:ECDFS,9,u,23.551771051225987,1.2169223424186608
DD:ECDFS,9,y,22.10906706825749,1.1217089714052941
DD:ECDFS,9,z,22.91827960459967,1.1558315623154107
DD:ECDFS,10,g,24.238506623303397,1.0881941144265037
DD:ECDFS,10,i,23.54249229144687,1.1217382029305276
DD:ECDFS,10,r,23.940727473543394,1.1464833558808734
DD:ECDFS,10,u,23.638879729970363,1.136209287354629
DD:ECDFS,10,y,22.164315263127918,1.191258134479425
DD:ECDFS,10,z,22.996596672365794,1.1679214794552588
DD:ECDFS,11,g,24.132760680236245,1.5739403876379914
DD:ECDFS,11,i,23.372154536759723,1.5965469491441275
DD:ECDFS,11,r,23.920286990946448,1.5142868127908198
DD:ECDFS,11,u,23.460511333181394,1.4549810700788544
DD:ECDFS,11,y,21.839100444654,1.430290455855304
DD:ECDFS,11,z,22.49017385827232,1.380785873366451
DD:EDFS_a,1,g,24.387372390332057,1.142187236135789
DD:EDFS_a,1,i,23.594025658499234,1.1579619981533256
DD:EDFS_a,1,r,23.996851178878348,1.183750756242206
DD:EDFS_a,1,u,23.699641779099146,1.0691489509854963
DD:EDFS_a,1,y,22.18841624687053,1.200130515850672
DD:EDFS_a,1,z,22.841770331659298,1.2279722640088524
DD:EDFS_a,2,g,24.513599702480498,1.0969190500062438
DD:EDFS_a,2,i,23.61798477300829,1.0999669214666414
DD:EDFS_a,2,r,24.196372448285267,1.1126096062377226
DD:EDFS_a,2,u,23.74282290806228,1.0941391608322752
DD:EDFS_a,2,y,22.220295906207,1.1384310151927979
DD:EDFS_a,2,z,22.89041085169019,1.2369757074280687
DD:EDFS_a,3,g,24.702414736381627,1.0659859657548936
DD:EDFS_a,3,i,23.882296171679876,1.0643971076696634
DD:EDFS_a,3,r,24.308465014341706,1.0718317873058458
DD:EDFS_a,3,u,23.862760533659714,1.1418671317703097
DD:EDFS_a,3,y,22.387578074313915,1.0880143159838904
DD:EDFS_a,3,z,23.183289379922886,1.0859828517722763
DD:EDFS_a,4,g,24.45948745197151,1.112303168572456
DD:EDFS_a,4,i,23.537470458126656,1.1075863633950296
DD:EDFS_a,4,r,23.938567654295355,1.1294375164378287
DD:EDFS_a,4,u,23.72133283179435,1.0712638842168265
DD:EDFS_a,4,y,22.187274774286934,1.159714615392847
DD:EDFS_a,4,z,22.991045232102778,1.2550005022708233
DD:EDFS_a,5,g,24.34066715216517,1.0991036973610568
DD:EDFS_a,5,i,23.513899801596708,1.0945737411871508
DD:EDFS_a,5,r,23.917776147790292,1.1085851780682858
DD:EDFS_a,5,u,23.445539529285256,1.1316201203718683
DD:EDFS_a,5,y,22.095798960558042,1.14336348724354
DD:EDFS_a,5,z,22.915626140610748,1.1141935209441727
DD:EDFS_a,6,g,24.453610969774413,1.085096377674396
DD:EDFS_a,6,i,23.560698434270847,1.0850139910412988
DD:EDFS_a,6,r,23.994641858269766,1.089714594993092
DD:EDFS_a,6,u,23.84124182385209,1.0664253111047926
DD:EDFS_a,6,y,22.097596953173337,1.1469682046597733
DD:EDFS_a,6,z,22.654722213025707,1.274320759683955
DD:EDFS_a,7,g,24.425078842240623,1.0625580896207607
DD:EDFS_a,7,i,23.566693841135113,1.0643338532241762
DD:EDFS_a,7,r,24.040676719115368,1.072725159399207
DD:EDFS_a,7,u,23.787538635306603,1.102544088320058
DD:EDFS_a,7,y,22.193531286945912,1.0856596992581173
DD:EDFS_a,7,z,22.932880969242646,1.1105525302831694
DD:EDFS_a,8,g,24.266629041282343,1.1768796438986078
DD:EDFS_a,8,i,23.380295768002995,1.1694440795642813
DD:EDFS_a,8,r,23.876348934970878,1.1465986463940916
DD:EDFS_a,8,u,23.574417336517705,1.1094141421259107
DD:EDFS_a,8,y,22.039250738571518,1.1264751248505573
DD:EDFS_a,8,z,22.723872145674505,1.3382220864174224
DD:EDFS_a,9,g,24.334816599725706,1.0863182252791894
DD:EDFS_a,9,i,23.49798565796898,1.0931895423571225
DD:EDFS_a,9,r,24.019915001558044,1.101563097820296
DD:EDFS_a,9,u,23.608669341045236,1.1991319269592164
DD:EDFS_a,9,y,22.130370080543685,1.1109254547646117
DD:EDFS_a,9,z,22.90308197269502,1.1183771998357277
DD:EDFS_a,10,g,24.310483790456807,1.089234385316725
DD:EDFS_a,10,i,23.555683425365558,1.098790260763598
DD:EDFS_a,10,r,23.98855236397928,1.0992791017540724
DD:EDFS_a,10,u,23.450278452540815,1.070188959415073
DD:EDFS_a,10,y,22.094616617789512,1.1007619095397851
DD:EDFS_a,10,z,22.863057496319694,1.2030638079282938
DD:EDFS_a,11,g,23.95850932065197,1.106924038261738
DD:EDFS_a,11,i,23.218836237617737,1.0965064163845826
DD:EDFS_a,11,r,23.711041508048652,1.0852735211277043
DD:EDFS_a,11,u,23.350212159886745,1.0894172388442223
DD:EDFS_a,11,y,21.721094734708352,1.1715925482559366
DD:EDFS_a,11,z,22.43081304541997,1.4795735517057618
DD:EDFS_b,1,g,24.40262993102559,1.119485556600242
DD:EDFS_b,1,i,23.696910098267765,1.116084440779039
DD:EDFS_b,1,r,24.07240930772909,1.1619873706202388
DD:EDFS_b,1,u,23.73928074266242,1.0534366560363364
DD:EDFS_b,1,y,22.22258986376763,1.1940667572030212
DD:EDFS_b,1,z,22.892978751235912,1.223984765867381
DD:EDFS_b,2,g,24.493594728249963,1.0781034199440325
DD:EDFS_b,2,i,23.684801662150427,1.0904004012813777
DD:EDFS_b,2,r,24.1406683822253,1.1045521904309583
DD:EDFS_b,2,u,23.800349320823504,1.0544189233982277
DD:EDFS_b,2,y,22.265498225163004,1.1221488891666238
DD:EDFS_b,2,z,22.87806854391865,1.2345936223373957
DD:EDFS_b,3,g,24.797321293475058,1.0579790397850903
DD:EDFS_b,3,i,23.92291951340091,1.0563957341993766
DD:EDFS_b,3,r,24.336161222888578,1.0604224708524694
DD:EDFS_b,3,u,23.8199976331172,1.1209013903013392
DD:EDFS_b,3,y,22.452754449761187,1.069996763577156
DD:EDFS_b,3,z,23.12334108756737,1.0769451940732306
DD:EDFS_b,4,g,24.41110256126405,1.109150361650644
DD:EDFS_b,4,i,23.55237609406909,1.1116487635278731
DD:EDFS_b,4,r,24.029970589378166,1.1042954585634417
DD:EDFS_b,4,u,23.71649276397649,1.0579670455991754
DD:EDFS_b,4,y,22.20065388910566,1.1731607152923371
DD:EDFS_b,4,z,22.93093082409003,1.224871889954609
DD:EDFS_b,5,g,24.33371363146336,1.078831079261214
DD:EDFS_b,5,i,23.44648772278888,1.0927929797476201
DD:EDFS_b,5,r,23.850635449689698,1.1061883743636405
DD:EDFS_b,5,u,23.533258138818855,1.1245812447823629
DD:EDFS_b,5,y,22.16077240580857,1.139218395141959
DD:EDFS_b,5,z,22.957401378274128,1.121060083085295
DD:EDFS_b,6,g,24.457874262275936,1.0808691714604308
DD:EDFS_b,6,i,23.51949094275966,1.0800836698038063
DD:EDFS_b,6,r,23.99859267525066,1.0958173980287407
DD:EDFS_b,6,u,23.84864034680522,1.0617369267987464
DD:EDFS_b,6,y,21.992014814574354,1.1733113753600035
DD:EDFS_b,6,z,22.65001934042906,1.2571752333969703
DD:EDFS_b,7,g,24.36558873846745,1.0591874165209292
DD:EDFS_b,7,i,23.53510826739295,1.055240823090632
DD:EDFS_b,7,r,24.069437597678693,1.060892723004276
DD:EDFS_b,7,u,23.748824275724942,1.1021554443739237
DD:EDFS_b,7,y,22.181677030206096,1.0893878812160938
DD:EDFS_b,7,z,22.885822386681856,1.0944472877959295
DD:EDFS_b,8,g,24.13368030558059,1.1739443255129531
DD:EDFS_b,8,i,23.4652316439115,1.1698065836415474
DD:EDFS_b,8,r,23.885612523259738,1.1673938581370753
DD:EDFS_b,8,u,23.578934282577283,1.088329110797455
DD:EDFS_b,8,y,22.02053639038125,1.2162429316343162
DD:EDFS_b,8,z,22.702653168203035,1.326306631949024
DD:EDFS_b,9,g,24.478400232700483,1.0719429710496524
DD:EDFS_b,9,i,23.459913929609698,1.0812389437144494
DD:EDFS_b,9,r,24.004652603078853,1.0985412398187706
DD:EDFS_b,9,u,23.702050704696866,1.168901764423899
DD:EDFS_b,9,y,22.213186305182223,1.116772163487284
DD:EDFS_b,9,z,22.809801439269922,1.1362526932079047
DD:EDFS_b,10,g,24.451845030004236,1.0702745464381707
DD:EDFS_b,10,i,23.541952537694442,1.0877056869376152
DD:EDFS_b,10,r,24.06665595743762,1.100424504824654
DD:EDFS_b,10,u,23.59051466761172,1.0546558996011162
DD:EDFS_b,10,y,22.135862412578117,1.0947576456719141
DD:EDFS_b,10,z,22.826688717553083,1.1742839117517996
DD:EDFS_b,11,g,23.935685459040158,1.1196520205340261
DD:EDFS_b,11,i,23.266886518528082,1.1030258281865086
DD:EDFS_b,11,r,23.69396290393658,1.1054386154218367
DD:EDFS_b,11,u,23.247833523517684,1.0934236706371934
DD:EDFS_b,11,y,21.654170758745728,1.1785099136348898
DD:EDFS_b,11,z,22.2749627845144,1.5097009557160437
DD:ELAISS1,1,g,24.427714930728364,1.120379455409675
