config,airmass,ozone,aerosol,pwv
confa,0.,0.,0.,0.
confb,2.e-3,10,5.e-4,5.e-2
confc,2.e-3,10,1.e-3,5.e-2
confd,2.e-3,10,1.e-3,1.e-2
confe,3.e-3,20.,5.e-3,2.e-1
conff,3.e-3,20.,5.e-3,5.e-1
