field,fieldType,season_min,season_max,nsn_max_season,host_effi,RA_min,RA_max,Dec_min,Dec_max,zType,zSource,simuFactor
COSMOS,DDF,1,10,1e10,host_effi_UD,0.,360.,-90.,90.,spectroz,Subaru,30
XMM-LSS,DDF,1,10,1.e10,host_effi_UD,0.,360.,-90.,90.,spectroz,Subaru,30
ELAISS1,DDF,1,5,1.e10,host_effi_DD,0.,360.,-90.,90.,spectroz,Tides,30
CDFS,DDF,1,5,1.e10,host_effi_DD,0.,360.,-90.,90.,spectroz,Tides,30
#EDFSa,DDF,1,5,1.e10,host_effi_photz,0.,360.,-90.,90.,photz,Nospectro,30
#EDFSb,DDF,1,5,1.e10,host_effi_photz,0.,360.,-90.,90.,photz,NoSpectro,30
#EDFS,1,5,1.e10,host_effi_DD,0.,360.,-90.,90.,spectroz,Tides
WFD,WFD,1,5,1.e4,host_effi_DD,0.,360.,-90.,90.,spectroz,Tides,10
WFD,WFD,1,10,1.e4,host_effi_photz,0.,360.,-90.,90.,photz,Nospectro,10
