scen,field,fieldType,cad,sl
# zcomplete=0.80
DDF_DESC_0.80_WZ,DD:COSMOS,UD,2,180
DDF_DESC_0.80_WZ,DD:XMM_LSS,UD,2,180
DDF_DESC_0.80_WZ,DD:ECDFS,DD,3,180
DDF_DESC_0.80_WZ,DD:ELAISS1,DD,3,180
DDF_DESC_0.80_WZ,DD:EDFS_a,DD,3,180
DDF_DESC_0.80_WZ,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.80_SN,DD:COSMOS,UD,2,180
DDF_DESC_0.80_SN,DD:XMM_LSS,UD,2,180
DDF_DESC_0.80_SN,DD:ECDFS,DD,3,180
DDF_DESC_0.80_SN,DD:ELAISS1,DD,3,180
DDF_DESC_0.80_SN,DD:EDFS_a,DD,3,180
DDF_DESC_0.80_SN,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.80_co,DD:COSMOS,UD,2,180
DDF_DESC_0.80_co,DD:XMM_LSS,UD,2,180
DDF_DESC_0.80_co,DD:ECDFS,DD,3,180
DDF_DESC_0.80_co,DD:ELAISS1,DD,3,180
DDF_DESC_0.80_co,DD:EDFS_a,DD,3,180
DDF_DESC_0.80_co,DD:EDFS_b,DD,3,180
# zcomplete = 0.75
DDF_DESC_0.75_WZ,DD:COSMOS,UD,2,180
DDF_DESC_0.75_WZ,DD:XMM_LSS,UD,2,180
DDF_DESC_0.75_WZ,DD:ECDFS,DD,3,180
DDF_DESC_0.75_WZ,DD:ELAISS1,DD,3,180
DDF_DESC_0.75_WZ,DD:EDFS_a,DD,3,180
DDF_DESC_0.75_WZ,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.75_SN,DD:COSMOS,UD,2,180
DDF_DESC_0.75_SN,DD:XMM_LSS,UD,2,180
DDF_DESC_0.75_SN,DD:ECDFS,DD,3,180
DDF_DESC_0.75_SN,DD:ELAISS1,DD,3,180
DDF_DESC_0.75_SN,DD:EDFS_a,DD,3,180
DDF_DESC_0.75_SN,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.75_co,DD:COSMOS,UD,2,180
DDF_DESC_0.75_co,DD:XMM_LSS,UD,2,180
DDF_DESC_0.75_co,DD:ECDFS,DD,3,180
DDF_DESC_0.75_co,DD:ELAISS1,DD,3,180
DDF_DESC_0.75_co,DD:EDFS_a,DD,3,180
DDF_DESC_0.75_co,DD:EDFS_b,DD,3,180
# zcomplete = 0.70
DDF_DESC_0.70_WZ,DD:COSMOS,UD,2,180
DDF_DESC_0.70_WZ,DD:XMM_LSS,UD,2,180
DDF_DESC_0.70_WZ,DD:ECDFS,DD,3,180
DDF_DESC_0.70_WZ,DD:ELAISS1,DD,3,180
DDF_DESC_0.70_WZ,DD:EDFS_a,DD,3,180
DDF_DESC_0.70_WZ,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.70_SN,DD:COSMOS,UD,2,180
DDF_DESC_0.70_SN,DD:XMM_LSS,UD,2,180
DDF_DESC_0.70_SN,DD:ECDFS,DD,3,180
DDF_DESC_0.70_SN,DD:ELAISS1,DD,3,180
DDF_DESC_0.70_SN,DD:EDFS_a,DD,3,180
DDF_DESC_0.70_SN,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.70_co,DD:COSMOS,UD,2,180
DDF_DESC_0.70_co,DD:XMM_LSS,UD,2,180
DDF_DESC_0.70_co,DD:ECDFS,DD,3,180
DDF_DESC_0.70_co,DD:ELAISS1,DD,3,180
