name,year,fieldType,cad,sl,level_5,u,g,r,i,z,y
DDF_DESC_0.70_SN,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.70_SN,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.70_SN,2,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,2,UD,2,180,0,12,4,18,66,62,12
DDF_DESC_0.70_SN,3,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,3,UD,2,180,0,12,4,18,66,62,12
DDF_DESC_0.70_SN,4,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,4,UD,2,180,0,12,4,18,66,62,12
DDF_DESC_0.70_SN,5,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,5,UD,2,180,0,12,4,18,66,62,12
DDF_DESC_0.70_SN,6,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,6,UD,2,180,0,12,4,18,66,62,12
DDF_DESC_0.70_SN,7,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,7,UD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,8,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,8,UD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,9,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,9,UD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,10,DD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_SN,10,UD,3,180,0,18,3,4,5,5,8
DDF_DESC_0.70_WZ,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.70_WZ,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.70_WZ,2,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,2,UD,2,180,0,11,4,18,68,63,14
DDF_DESC_0.70_WZ,3,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,3,UD,2,180,0,11,4,18,68,63,14
DDF_DESC_0.70_WZ,4,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,4,UD,2,180,0,11,4,18,68,63,14
DDF_DESC_0.70_WZ,5,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,5,UD,2,180,0,11,4,18,68,63,14
DDF_DESC_0.70_WZ,6,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,6,UD,2,180,0,11,4,18,68,63,14
DDF_DESC_0.70_WZ,7,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,7,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,8,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,8,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,9,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,9,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,10,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_WZ,10,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.70_co,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.70_co,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.70_co,2,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,2,UD,2,180,0,11,4,18,66,64,12
DDF_DESC_0.70_co,3,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,3,UD,2,180,0,11,4,18,66,64,12
DDF_DESC_0.70_co,4,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,4,UD,2,180,0,11,4,18,66,64,12
DDF_DESC_0.70_co,5,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,5,UD,2,180,0,11,4,18,66,64,12
DDF_DESC_0.70_co,6,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,6,UD,2,180,0,11,4,18,66,64,12
DDF_DESC_0.70_co,7,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,7,UD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,8,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,8,UD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,9,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,9,UD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,10,DD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.70_co,10,UD,3,180,0,17,2,4,5,5,8
DDF_DESC_0.75_SN,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.75_SN,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.75_SN,2,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,2,UD,2,180,0,9,4,18,88,76,30
DDF_DESC_0.75_SN,3,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,3,UD,2,180,0,9,4,18,88,76,30
DDF_DESC_0.75_SN,4,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,4,UD,2,180,0,9,4,18,88,76,30
DDF_DESC_0.75_SN,5,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,5,UD,2,180,0,9,4,18,88,76,30
DDF_DESC_0.75_SN,6,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,6,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,7,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,7,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,8,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,8,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,9,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,9,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,10,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_SN,10,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.75_WZ,1,DD,3,180,0,19,3,3,3,3,4
