# x1 c weight_x1 weight_c weight_tot
-2.5 -0.25 0.015306122449 0.00340136054422 5.20616409829e-05
-2.5 -0.2 0.015306122449 0.0255102040816 0.000390462307372
-2.5 -0.15 0.015306122449 0.0952380952381 0.00145772594752
-2.5 -0.1 0.015306122449 0.178571428571 0.0027332361516
-2.5 -0.05 0.015306122449 0.248299319728 0.00380049979175
-2.5 0.0 0.015306122449 0.207482993197 0.00317576009996
-2.5 0.05 0.015306122449 0.127551020408 0.00195231153686
-2.5 0.1 0.015306122449 0.0714285714286 0.00109329446064
-2.5 0.15 0.015306122449 0.0323129251701 0.000494585589338
-2.5 0.2 0.015306122449 0.00680272108844 0.000104123281966
-2.5 0.25 0.015306122449 0.00340136054422 5.20616409829e-05
-2.0 -0.25 0.0221088435374 0.00340136054422 7.52001480864e-05
-2.0 -0.2 0.0221088435374 0.0255102040816 0.000564001110648
-2.0 -0.15 0.0221088435374 0.0952380952381 0.00210560414642
-2.0 -0.1 0.0221088435374 0.178571428571 0.00394800777454
-2.0 -0.05 0.0221088435374 0.248299319728 0.00548961081031
-2.0 0.0 0.0221088435374 0.207482993197 0.00458720903327
-2.0 0.05 0.0221088435374 0.127551020408 0.00282000555324
-2.0 0.1 0.0221088435374 0.0714285714286 0.00157920310982
-2.0 0.15 0.0221088435374 0.0323129251701 0.000714401406821
-2.0 0.2 0.0221088435374 0.00680272108844 0.000150400296173
-2.0 0.25 0.0221088435374 0.00340136054422 7.52001480864e-05
-1.5 -0.25 0.0578231292517 0.00340136054422 0.00019667731038
-1.5 -0.2 0.0578231292517 0.0255102040816 0.00147507982785
-1.5 -0.15 0.0578231292517 0.0952380952381 0.00550696469064
-1.5 -0.1 0.0578231292517 0.178571428571 0.0103255587949
-1.5 -0.05 0.0578231292517 0.248299319728 0.0143574436577
-1.5 0.0 0.0578231292517 0.207482993197 0.0119973159332
-1.5 0.05 0.0578231292517 0.127551020408 0.00737539913925
-1.5 0.1 0.0578231292517 0.0714285714286 0.00413022351798
-1.5 0.15 0.0578231292517 0.0323129251701 0.00186843444861
-1.5 0.2 0.0578231292517 0.00680272108844 0.00039335462076
-1.5 0.25 0.0578231292517 0.00340136054422 0.00019667731038
-1.0 -0.25 0.0799319727891 0.00340136054422 0.000271877458466
-1.0 -0.2 0.0799319727891 0.0255102040816 0.0020390809385
-1.0 -0.15 0.0799319727891 0.0952380952381 0.00761256883706
-1.0 -0.1 0.0799319727891 0.178571428571 0.0142735665695
-1.0 -0.05 0.0799319727891 0.248299319728 0.019847054468
-1.0 0.0 0.0799319727891 0.207482993197 0.0165845249664
-1.0 0.05 0.0799319727891 0.127551020408 0.0101954046925
-1.0 0.1 0.0799319727891 0.0714285714286 0.00570942662779
-1.0 0.15 0.0799319727891 0.0323129251701 0.00258283585543
-1.0 0.2 0.0799319727891 0.00680272108844 0.000543754916933
-1.0 0.25 0.0799319727891 0.00340136054422 0.000271877458466
-0.5 -0.25 0.127551020408 0.00340136054422 0.000433847008191
-0.5 -0.2 0.127551020408 0.0255102040816 0.00325385256143
-0.5 -0.15 0.127551020408 0.0952380952381 0.0121477162293
-0.5 -0.1 0.127551020408 0.178571428571 0.02277696793
-0.5 -0.05 0.127551020408 0.248299319728 0.0316708315979
-0.5 0.0 0.127551020408 0.207482993197 0.0264646674997
-0.5 0.05 0.127551020408 0.127551020408 0.0162692628072
-0.5 0.1 0.127551020408 0.0714285714286 0.00911078717201
-0.5 0.15 0.127551020408 0.0323129251701 0.00412154657781
-0.5 0.2 0.127551020408 0.00680272108844 0.000867694016382
-0.5 0.25 0.127551020408 0.00340136054422 0.000433847008191
0.0 -0.25 0.209183673469 0.00340136054422 0.000711509093433
0.0 -0.2 0.209183673469 0.0255102040816 0.00533631820075
0.0 -0.15 0.209183673469 0.0952380952381 0.0199222546161
0.0 -0.1 0.209183673469 0.178571428571 0.0373542274052
0.0 -0.05 0.209183673469 0.248299319728 0.0519401638206
0.0 0.0 0.209183673469 0.207482993197 0.0434020546994
0.0 0.05 0.209183673469 0.127551020408 0.0266815910037
0.0 0.1 0.209183673469 0.0714285714286 0.0149416909621
0.0 0.15 0.209183673469 0.0323129251701 0.00675933638762
0.0 0.2 0.209183673469 0.00680272108844 0.00142301818687
0.0 0.25 0.209183673469 0.00340136054422 0.000711509093433
0.5 -0.25 0.205782312925 0.00340136054422 0.000699939839882
0.5 -0.2 0.205782312925 0.0255102040816 0.00524954879911
0.5 -0.15 0.205782312925 0.0952380952381 0.0195983155167
0.5 -0.1 0.205782312925 0.178571428571 0.0367468415938
0.5 -0.05 0.205782312925 0.248299319728 0.0510956083114
