# x1 c weight_x1 weight_c weight_tot
-3.0 -0.15 0.00657894736842 0.0197368421053 0.000129847645429
-3.0 -0.1 0.00657894736842 0.184210526316 0.00121191135734
-3.0 -0.05 0.00657894736842 0.269736842105 0.00177458448753
-3.0 0.0 0.00657894736842 0.144736842105 0.000952216066482
-3.0 0.05 0.00657894736842 0.197368421053 0.00129847645429
-3.0 0.1 0.00657894736842 0.105263157895 0.000692520775623
-3.0 0.15 0.00657894736842 0.0592105263158 0.000389542936288
-3.0 0.2 0.00657894736842 0.0131578947368 8.65650969529e-05
-3.0 0.25 0.00657894736842 0.00657894736842 4.32825484765e-05
-2.5 -0.15 0.0328947368421 0.0197368421053 0.000649238227147
-2.5 -0.1 0.0328947368421 0.184210526316 0.0060595567867
-2.5 -0.05 0.0328947368421 0.269736842105 0.00887292243767
-2.5 0.0 0.0328947368421 0.144736842105 0.00476108033241
-2.5 0.05 0.0328947368421 0.197368421053 0.00649238227147
-2.5 0.1 0.0328947368421 0.105263157895 0.00346260387812
-2.5 0.15 0.0328947368421 0.0592105263158 0.00194771468144
-2.5 0.2 0.0328947368421 0.0131578947368 0.000432825484765
-2.5 0.25 0.0328947368421 0.00657894736842 0.000216412742382
-2.0 -0.15 0.0657894736842 0.0197368421053 0.00129847645429
-2.0 -0.1 0.0657894736842 0.184210526316 0.0121191135734
-2.0 -0.05 0.0657894736842 0.269736842105 0.0177458448753
-2.0 0.0 0.0657894736842 0.144736842105 0.00952216066482
-2.0 0.05 0.0657894736842 0.197368421053 0.0129847645429
-2.0 0.1 0.0657894736842 0.105263157895 0.00692520775623
-2.0 0.15 0.0657894736842 0.0592105263158 0.00389542936288
-2.0 0.2 0.0657894736842 0.0131578947368 0.000865650969529
-2.0 0.25 0.0657894736842 0.00657894736842 0.000432825484765
-1.5 -0.15 0.111842105263 0.0197368421053 0.0022074099723
-1.5 -0.1 0.111842105263 0.184210526316 0.0206024930748
-1.5 -0.05 0.111842105263 0.269736842105 0.0301679362881
-1.5 0.0 0.111842105263 0.144736842105 0.0161876731302
-1.5 0.05 0.111842105263 0.197368421053 0.022074099723
-1.5 0.1 0.111842105263 0.105263157895 0.0117728531856
-1.5 0.15 0.111842105263 0.0592105263158 0.0066222299169
-1.5 0.2 0.111842105263 0.0131578947368 0.0014716066482
-1.5 0.25 0.111842105263 0.00657894736842 0.0007358033241
-1.0 -0.15 0.164473684211 0.0197368421053 0.00324619113573
-1.0 -0.1 0.164473684211 0.184210526316 0.0302977839335
-1.0 -0.05 0.164473684211 0.269736842105 0.0443646121884
-1.0 0.0 0.164473684211 0.144736842105 0.023805401662
-1.0 0.05 0.164473684211 0.197368421053 0.0324619113573
-1.0 0.1 0.164473684211 0.105263157895 0.0173130193906
-1.0 0.15 0.164473684211 0.0592105263158 0.0097385734072
-1.0 0.2 0.164473684211 0.0131578947368 0.00216412742382
-1.0 0.25 0.164473684211 0.00657894736842 0.00108206371191
-0.5 -0.15 0.118421052632 0.0197368421053 0.00233725761773
-0.5 -0.1 0.118421052632 0.184210526316 0.0218144044321
