target,season,u,g,r,i,z,y,season_seq
# Ultra-Deep Fields
UD,1,19,3,3,3,3,4,75
UD,2,6,4,18,124,112,40,110
UD,3,6,4,18,124,112,40,110
UD,4,9,1,2,3,2,4,75
UD,5,9,1,2,3,2,4,75
UD,6,9,1,2,3,2,4,75
UD,7,9,1,2,3,2,4,75
UD,8,9,1,2,3,2,4,75
UD,9,9,1,2,3,2,4,75
UD,10,9,1,2,3,2,4,75
#Deep fields
DF,1,19,3,3,3,3,4,75
DF,2,9,1,2,3,2,4,75
DF,3,9,1,2,3,2,4,75
DF,4,9,1,2,3,2,4,75
DF,5,9,1,2,3,2,4,75
DF,6,9,1,2,3,2,4,75
DF,7,9,1,2,3,2,4,75
DF,8,9,1,2,3,2,4,75
DF,9,9,1,2,3,2,4,75
DF,10,9,1,2,3,2,4,75
