target,season,u,g,r,i,z,y,season_seq
# Ultra-Deep Fields
UD,1,19,3,3,3,3,4,75
UD,2,11,4,48,44,44,7,110
UD,3,11,4,48,44,44,7,110
UD,4,11,4,48,44,44,7,110
UD,5,11,4,48,44,44,7,110
UD,6,16,2,4,5,5,8,75
UD,7,16,2,4,5,5,8,75
UD,8,16,2,4,5,5,8,75
UD,9,16,2,4,5,5,8,75
UD,10,16,2,4,5,5,8,75
#Deep fields
DF,1,19,3,3,3,3,4,75
DF,2,16,2,4,5,5,8,75
DF,3,16,2,4,5,5,8,75
DF,4,16,2,4,5,5,8,75
DF,5,16,2,4,5,5,8,75
DF,6,16,2,4,5,5,8,75
DF,7,16,2,4,5,5,8,75
DF,8,16,2,4,5,5,8,75
DF,9,16,2,4,5,5,8,75
DF,10,16,2,4,5,5,8,75

