target,season,u,g,r,i,z,y,season_seq
# Ultra-Deep Fields
UD,1,19,3,3,3,3,4,75
UD,2,4,4,18,88,76,30,110
UD,3,4,4,18,88,76,30,110
UD,4,4,4,18,88,76,30,110
UD,5,7,1,1,2,2,3,75
UD,6,7,1,1,2,2,3,75
UD,7,7,1,1,2,2,3,75
UD,8,7,1,1,2,2,3,75
UD,9,7,1,1,2,2,3,75
UD,10,7,1,1,2,2,3,75
#Deep fields
DF,1,19,3,3,3,3,4,75
DF,2,7,1,1,2,2,3,75
DF,3,7,1,1,2,2,3,75
DF,4,7,1,1,2,2,3,75
DF,5,7,1,1,2,2,3,75
DF,6,7,1,1,2,2,3,75
DF,7,7,1,1,2,2,3,75
DF,8,7,1,1,2,2,3,75
DF,9,7,1,1,2,2,3,75
DF,10,7,1,1,2,2,3,75
