target,season,u,g,r,i,z,y,season_seq
# Ultra-Deep Fields
UD,1,19,3,3,3,3,4,75
UD,2,8,4,18,55,52,10,110
UD,3,8,4,18,55,52,10,110
UD,4,8,4,18,55,52,10,110
UD,5,8,4,18,55,52,10,110
UD,6,11,2,3,3,3,5,75
UD,7,11,2,3,3,3,5,75
UD,8,11,2,3,3,3,5,75
UD,9,11,2,3,3,3,5,75
UD,10,11,2,3,3,3,5,75
#Deep fields
DF,1,19,3,3,3,3,4,75
DF,2,11,2,3,3,3,5,75
DF,3,11,2,3,3,3,5,75
DF,4,11,2,3,3,3,5,75
DF,5,11,2,3,3,3,5,75
DF,6,11,2,3,3,3,5,75
DF,7,11,2,3,3,3,5,75
DF,8,11,2,3,3,3,5,75
DF,9,11,2,3,3,3,5,75
DF,10,11,2,3,3,3,5,75
