nickname,dirname,prodid
cosmo_cosmo_evb_0.0,Output_Fit,sn_cosmo_Fake_Fake_DESC_seas_-1_-2.0_0.2_380_800_ebvofMW_0.0_sn_cosmo
cosmo_cosmo_evb_0.25,Output_Fit,sn_cosmo_Fake_Fake_DESC_seas_-1_-2.0_0.2_380_800_ebvofMW_0.25_sn_cosmo
