survey,nickname
DDF_COSMOS,co
DDF_XMM,xm
DDF_ELAIS,el
DDF_CDFS,cd
DDF_EDFS,ed
DDF_EDFSa,eda
DDF_EDFSb,edb
WFD_TiDES,ti
WFD_desi_bgs,desibg
WFD_desi_lrg,desilrg
WFD_desi_bgs+WFD_desi_lrg,desi
WFD_desi2,desi2
WFD_4hs,4hs
WFD_crs_bg,crsbg
WFD_crs_lrg,crslrg
WFD_crs_bg+WFD_crs_lrg,crs

